filename,homogeneity_d1_a0,homogeneity_d1_a45,homogeneity_d1_a90,homogeneity_d1_a135,homogeneity_d2_a0,homogeneity_d2_a45,homogeneity_d2_a90,homogeneity_d2_a135,energy_d1_a0,energy_d1_a45,energy_d1_a90,energy_d1_a135,energy_d2_a0,energy_d2_a45,energy_d2_a90,energy_d2_a135,correlation_d1_a0,correlation_d1_a45,correlation_d1_a90,correlation_d1_a135,correlation_d2_a0,correlation_d2_a45,correlation_d2_a90,correlation_d2_a135,entropy_d1_a0,entropy_d1_a45,entropy_d1_a90,entropy_d1_a135,entropy_d2_a0,entropy_d2_a45,entropy_d2_a90,entropy_d2_a135
Albert (1).jpg,0.9867741141732284,0.9864219728439456,0.9893885334645671,0.9804079608159217,0.9738033234126983,0.9864219728439456,0.9793216765873016,0.9804079608159217,0.6451557799486722,0.645474021550971,0.6476155927233199,0.6385607711767166,0.631561218611114,0.645474021550971,0.6365576802217922,0.6385607711767166,0.9680302120642903,0.9669911187935308,0.9744058259384917,0.9523793876000927,0.9361881880576918,0.9669911187935308,0.9498445228726264,0.9523793876000927,1.1020634038459727,1.1018447349877214,1.0818476909937693,1.1470040193651834,1.1907478463460566,1.1018447349877214,1.155457588668561,1.1470040193651834
Albert (10).jpg,0.8954323304503513,0.8683228742023095,0.8995352081626111,0.8730402420080858,0.8422899585813192,0.8683228742023095,0.8461287844789682,0.8730402420080858,0.31198818277589796,0.2970824236798818,0.31341233753217124,0.2995828156338323,0.28428392445534834,0.2970824236798818,0.2859940009051808,0.2995828156338323,0.955115764164221,0.9363603960029289,0.9628769459854348,0.9440874573536957,0.9035136406264402,0.9363603960029289,0.9269819362443581,0.9440874573536957,2.6600076128117274,2.77849057340506,2.62378417497697,2.754174020317878,2.900469211380415,2.77849057340506,2.851091429702554,2.754174020317878
Albert (11).jpg,0.8973407103983326,0.8699695526087883,0.9058168567623901,0.8744435488870979,0.8405897054334556,0.8699695526087883,0.8503545448628168,0.8744435488870979,0.32972838614250477,0.3136407216507697,0.33428179918590084,0.3167779131609142,0.2975629448868167,0.3136407216507697,0.30304860505590364,0.3167779131609142,0.9535854503768052,0.9369639803621171,0.9632144884638129,0.9424688781147136,0.9028417146821929,0.9369639803621171,0.9287776919514135,0.9424688781147136,2.577521313500389,2.6968920223298936,2.523889416375297,2.668460445979715,2.825722943438672,2.6968920223298936,2.7613978657868126,2.668460445979715
Albert (12).jpg,0.9005568984483554,0.8744446430069334,0.9153912401574802,0.8777399636247235,0.844807770864756,0.8744446430069334,0.8647029645191411,0.8777399636247235,0.34554105058943446,0.32956822152995296,0.3540747491476196,0.33115227384826357,0.31235651214273413,0.32956822152995296,0.3233062690865155,0.33115227384826357,0.9500510546395706,0.9324989152557812,0.9608032203547504,0.9362615755939527,0.9001356148581708,0.9324989152557812,0.9251605377636238,0.9362615755939527,2.481117045727652,2.5915672526877525,2.4027302468463687,2.5739344214262747,2.726320012317447,2.5915672526877525,2.6241946707663923,2.5739344214262747
Albert (13).jpg,0.89856245212349,0.876188205990207,0.908943909042696,0.8834660666997743,0.8528051226121077,0.876188205990207,0.8678718419757023,0.8834660666997743,0.39874416767589366,0.3879140706248007,0.4030365224930648,0.3898778673692544,0.3732541890556962,0.3879140706248007,0.38112187777719136,0.3898778673692544,0.9384927148109196,0.9183125116135508,0.9483290917303596,0.9274181901195792,0.8848700804364544,0.9183125116135508,0.9123102580246489,0.9274181901195792,2.3393724894591985,2.4265918897479217,2.2852560068955783,2.4003040847733232,2.535183322703029,2.4265918897479217,2.453231373795581,2.4003040847733232
Albert (13).jpg,0.9487573818897639,0.9210242420484842,0.9480499507874016,0.9290780581561162,0.8989335317460317,0.9210242420484842,0.8983320932539681,0.9290780581561162,0.5462028993838571,0.5377407095181898,0.5445280007448816,0.5404698392560126,0.5314743786853403,0.5377407095181898,0.5283918131109244,0.5404698392560126,0.9870653692136443,0.9798799449054312,0.9868683803405394,0.9817014536297893,0.9717481214656261,0.9798799449054312,0.9713647949491386,0.9817014536297893,1.8316803419946686,1.9183930720433593,1.8289506756191065,1.8993712040436646,2.0126953670960566,1.9183930720433593,2.0008704894463936,1.8993712040436646
Albert (15).jpg,0.900093164347811,0.88021977220425,0.9256677306125114,0.8875549760149297,0.8588147759103645,0.88021977220425,0.8888096508960482,0.8875549760149297,0.46107593890213405,0.45258369134688364,0.4766343132523314,0.455878650496538,0.4390986769476953,0.45258369134688364,0.4555398718395472,0.455878650496538,0.9171452819268916,0.896911306043361,0.9484145015617885,0.9045089386665855,0.8545420663955164,0.896911306043361,0.9102378177141199,0.9045089386665855,2.171481883549073,2.246107452431545,2.039564066612608,2.2166946131724936,2.333155692879114,2.246107452431545,2.1943932296593376,2.2166946131724936
Albert (16).jpg,0.8981741995083676,0.8779819938507435,0.9010734283625377,0.8816105312044304,0.8582362721379264,0.8779819938507435,0.860100423680387,0.8816105312044304,0.39748896716746807,0.3880963344486222,0.39954806997369324,0.38941972867626234,0.3771712932434277,0.3880963344486222,0.37834037987822894,0.38941972867626234,0.954092933925232,0.9398957186738522,0.9577642937280327,0.943864790392259,0.9176367702501873,0.9398957186738522,0.9292395243260768,0.943864790392259,2.352717589844229,2.4290224443908954,2.327812114465873,2.416283265268963,2.5222163212024533,2.4290224443908954,2.4869480857054502,2.416283265268963
Albert (17).jpg,0.8937308215609082,0.8714522813661014,0.9118403340666976,0.8754784179251619,0.8391324718990162,0.8714522813661014,0.8630405567675785,0.8754784179251619,0.32741799508678443,0.314736913702386,0.3380155565545766,0.3157822316110778,0.29669800023838816,0.314736913702386,0.3094847285339342,0.3157822316110778,0.9578941422483062,0.944274901617898,0.9668931081504833,0.9493851036136846,0.9222097794623947,0.944274901617898,0.9391464810649449,0.9493851036136846,2.629719360906383,2.725830645833652,2.541746264591158,2.7048798310951225,2.8637560310289274,2.725830645833652,2.761644578708637,2.7048798310951225
Albert (19).jpg,0.9157804316457053,0.9027752489894119,0.9317186052570635,0.9044096676428648,0.8739172030991885,0.9027752489894119,0.8982248628618112,0.9044096676428648,0.3831639387951034,0.3745612096010981,0.38759664273177585,0.37374122671904875,0.3597661791273801,0.3745612096010981,0.36556841395088424,0.37374122671904875,0.9515635303091324,0.9428700563969691,0.9679327945009043,0.9466232517256831,0.9117615667677753,0.9428700563969691,0.9490182932096629,0.9466232517256831,2.3569270543752694,2.417746357089475,2.274925125589476,2.4094506713067076,2.544705988578092,2.417746357089475,2.4310392823583284,2.4094506713067076
Albert (2).jpg,0.9352451555652547,0.9175057770930021,0.9399566494905047,0.9153841945692942,0.8946733495676505,0.9175057770930021,0.9028316174226101,0.9153841945692942,0.4713968047650387,0.45926360947652733,0.4715293038370303,0.45697909872635456,0.4473139046483819,0.45926360947652733,0.44467184300135776,0.45697909872635456,0.9530112069093579,0.9426876684257933,0.9646971234028822,0.9350774874962282,0.9005646626441102,0.9426876684257933,0.9363010459588428,0.9350774874962282,1.9970426743347387,2.0739360214409785,1.9607064238203695,2.0915126612412545,2.1835441603797108,2.0739360214409785,2.124419557335277,2.0915126612412545
Albert (20).jpg,0.8988482637528056,0.8835665725630093,0.9139532469180892,0.8794719553240012,0.8427789505225165,0.8835665725630093,0.8708403754129859,0.8794719553240012,0.38754651273119056,0.3807559871412491,0.39961105301829897,0.3775208729533613,0.3541783546343147,0.3807559871412491,0.37631223840218175,0.3775208729533613,0.9487098072310571,0.9394451655387525,0.9619976221141069,0.9361164240245088,0.902905983389943,0.9394451655387525,0.9345266521769959,0.9361164240245088,2.3931035747485505,2.4528037722359746,2.3073431479424897,2.4714603080884503,2.630782647000915,2.4528037722359746,2.488387853595217,2.4714603080884503
Albert (21).jpg,0.8680870547815603,0.8514827511249741,0.8964740470197284,0.8483437743933084,0.8125519227311506,0.8514827511249741,0.8504466863841864,0.8483437743933084,0.3149074419422642,0.3061276574636728,0.32649674073188584,0.3044733201672028,0.2889187292859418,0.3061276574636728,0.30292843474921616,0.3044733201672028,0.927220897076943,0.9162493717895217,0.9597524122989004,0.9180495874037787,0.8653243805118922,0.9162493717895217,0.9297590289343763,0.9180495874037787,2.715192460321268,2.7803657117494214,2.574744051812446,2.7913902927597074,2.9388491118950073,2.7803657117494214,2.772140728257838,2.7913902927597074
Albert (22).jpg,0.8946691733174191,0.8808766853928474,0.9067189392792249,0.8827771230203093,0.8599401058500322,0.8808766853928474,0.869815703156696,0.8827771230203093,0.38077397087266573,0.373480325301957,0.386073706999938,0.3743247563914688,0.36204437223001745,0.373480325301957,0.36440430036888755,0.3743247563914688,0.9382956111401671,0.923645719523749,0.9456956910695,0.9255907850936014,0.9048630543980585,0.923645719523749,0.9113426927927418,0.9255907850936014,2.381963252552172,2.4338577862229718,2.315730940903111,2.4263374275993277,2.52963834479421,2.4338577862229718,2.4643515429441756,2.4263374275993277
Albert (23).jpg,0.9164254284390921,0.8938619877239751,0.923766428323297,0.8987461667231028,0.8736074638188611,0.8938619877239751,0.88423460730446,0.8987461667231028,0.40358682291226616,0.3911960405637517,0.4086875492904925,0.39225977419601216,0.37814027568222436,0.3911960405637517,0.38290759307727346,0.39225977419601216,0.9513433020201536,0.9291556322350759,0.9522825432812351,0.9351666093499411,0.9070746345610352,0.9291556322350759,0.9176599441509873,0.9351666093499411,2.252224276066404,2.357105904417186,2.2175568164985986,2.331726357183565,2.4453736916734057,2.357105904417186,2.3929742359373125,2.331726357183565
Albert (24).jpg,0.9027296187200221,0.8750917696234315,0.9026410179876051,0.8725114178759601,0.8599447467829822,0.8750917696234315,0.8524845527694795,0.8725114178759601,0.36488063741038523,0.35067681200845613,0.3628285047348538,0.3487796737778117,0.34201051102730984,0.35067681200845613,0.336154678291144,0.3487796737778117,0.9532489877661259,0.9334521910148511,0.9569886732100172,0.9374941702063141,0.9199104430477895,0.9334521910148511,0.9219852328620182,0.9374941702063141,2.4694830626200104,2.5895851965702636,2.469780797195552,2.5959475663787632,2.6492324778271885,2.5895851965702636,2.679644216841429,2.5959475663787632
