filename,homogeneity_d1_a0,homogeneity_d1_a45,homogeneity_d1_a90,homogeneity_d1_a135,homogeneity_d2_a0,homogeneity_d2_a45,homogeneity_d2_a90,homogeneity_d2_a135,energy_d1_a0,energy_d1_a45,energy_d1_a90,energy_d1_a135,energy_d2_a0,energy_d2_a45,energy_d2_a90,energy_d2_a135,correlation_d1_a0,correlation_d1_a45,correlation_d1_a90,correlation_d1_a135,correlation_d2_a0,correlation_d2_a45,correlation_d2_a90,correlation_d2_a135,entropy_d1_a0,entropy_d1_a45,entropy_d1_a90,entropy_d1_a135,entropy_d2_a0,entropy_d2_a45,entropy_d2_a90,entropy_d2_a135
Alvin (49).jpg,0.912753885,0.876322994,0.896449511,0.888139264,0.868398654,0.876322994,0.847655352,0.888139264,0.361774143,0.34387578,0.355448854,0.348472038,0.335561211,0.34387578,0.33058243,0.348472038,0.961314835,0.935675647,0.953695553,0.949980883,0.933079409,0.935675647,0.91782727,0.949980883,2.392289356,2.553605397,2.460512868,2.497542105,2.584121039,2.553605397,2.658686057,2.497542105
Ritter (34).jpg,0.919646321,0.899184866,0.920399012,0.892729938,0.873965684,0.899184866,0.874302867,0.892729938,0.460470493,0.4457796,0.458192002,0.439933356,0.427856322,0.4457796,0.424614329,0.439933356,0.909856904,0.872262555,0.918423163,0.878409852,0.822556067,0.872262555,0.8462889,0.878409852,2.037968885,2.133209264,2.035935354,2.157170496,2.239268313,2.133209264,2.238096643,2.157170496
Vincent (12).jpg,0.924057362,0.89226202,0.908540557,0.898495585,0.889976147,0.89226202,0.86006215,0.898495585,0.355388043,0.333061463,0.343551885,0.337771219,0.333064016,0.333061463,0.313210071,0.337771219,0.967286891,0.949286197,0.958129696,0.952439397,0.947338421,0.949286197,0.926453071,0.952439397,2.320660812,2.469635335,2.399071408,2.444654247,2.477870619,2.469635335,2.610767116,2.444654247
Vincent (13).jpg,0.931938976,0.909611113,0.921214248,0.912062671,0.900778697,0.909611113,0.882900035,0.912062671,0.376274028,0.358753918,0.366881814,0.362662556,0.355547509,0.358753918,0.340926117,0.362662556,0.974497979,0.964630066,0.969242002,0.963864558,0.959214716,0.964630066,0.948138083,0.963864558,2.288907187,2.396772195,2.348369002,2.39400178,2.437389657,2.396772195,2.527922507,2.39400178
Vincent (14).jpg,0.916800535,0.883902776,0.904674167,0.892594127,0.876369783,0.883902776,0.853970863,0.892594127,0.35789724,0.336941966,0.350327454,0.341759387,0.331598066,0.336941966,0.320222947,0.341759387,0.963340472,0.946445225,0.956623508,0.947801042,0.938683474,0.946445225,0.921794711,0.947801042,2.375739205,2.518474327,2.427693427,2.489613523,2.55879735,2.518474327,2.643837111,2.489613523
Vincent (17).jpg,0.932271161,0.909770855,0.927257266,0.911829259,0.895014881,0.909770855,0.881967058,0.911829259,0.36009203,0.344294557,0.355608578,0.34644018,0.335782288,0.344294557,0.326195476,0.34644018,0.974676601,0.963310855,0.970101808,0.963093115,0.958236843,0.963310855,0.944953795,0.963093115,2.325465715,2.437631967,2.357013745,2.433422761,2.498696912,2.437631967,2.57101917,2.433422761
Vincent (20).jpg,0.9402156,0.922833271,0.935499207,0.925283819,0.912626309,0.922833271,0.90313672,0.925283819,0.447520664,0.437111073,0.441694416,0.438274787,0.432451718,0.437111073,0.421821987,0.438274787,0.962942103,0.95058713,0.961702609,0.951136323,0.934725758,0.95058713,0.934184366,0.951136323,2.053452363,2.135731401,2.077388366,2.122209814,2.185232322,2.135731401,2.227559268,2.122209814
Vincent (21).jpg,0.953276256,0.937409444,0.950506071,0.940214571,0.93131293,0.937409444,0.921394427,0.940214571,0.512016343,0.503161635,0.508144986,0.503876411,0.501289865,0.503161635,0.490767795,0.503876411,0.97385996,0.961591627,0.974637893,0.965336169,0.952394216,0.961591627,0.95176598,0.965336169,1.8120509,1.894653307,1.832963033,1.880112537,1.915681981,1.894653307,1.972816628,1.880112537
Vincent (22).jpg,0.934768701,0.917009748,0.93485808,0.917147775,0.902673465,0.917009748,0.896979341,0.917147775,0.429207197,0.415543337,0.426138517,0.416102875,0.409010153,0.415543337,0.399484667,0.416102875,0.95739088,0.943886718,0.95872487,0.943678671,0.927477631,0.943886718,0.929495993,0.943678671,2.097239863,2.183004756,2.101392813,2.185848131,2.248164633,2.183004756,2.277078607,2.185848131
Vincent (23).jpg,0.929192841,0.900313648,0.920426847,0.904858257,0.887383287,0.900313648,0.870490853,0.904858257,0.372780157,0.351505232,0.365061779,0.355254305,0.344670027,0.351505232,0.331729152,0.355254305,0.966898142,0.951162596,0.961917792,0.95295481,0.942362972,0.951162596,0.931038512,0.95295481,2.260128441,2.397740785,2.307325492,2.381971146,2.45494181,2.397740785,2.530610742,2.381971146
Vincent (24).jpg,0.923116171,0.90769531,0.917609426,0.9086337,0.90091951,0.90769531,0.888193771,0.9086337,0.448276139,0.438319481,0.442075897,0.438672916,0.435454308,0.438319481,0.424392227,0.438672916,0.951898136,0.941503792,0.952194328,0.940165194,0.925844146,0.941503792,0.925129018,0.940165194,2.070058703,2.138595271,2.095645569,2.135840211,2.168438932,2.138595271,2.229769779,2.135840211
Vincent (25).jpg,0.939399027,0.922861999,0.935120788,0.922753512,0.912202746,0.922861999,0.90600305,0.922753512,0.437224972,0.426490457,0.432444497,0.425706739,0.421116563,0.426490457,0.412811576,0.425706739,0.962211381,0.949811925,0.959451541,0.945959342,0.940080159,0.949811925,0.933204063,0.945959342,2.076976115,2.156274668,2.102286209,2.162652563,2.201955874,2.156274668,2.239561188,2.162652563
Vincent (26).jpg,0.94153869,0.921373266,0.936420941,0.926212194,0.909321385,0.921373266,0.898676398,0.926212194,0.380699214,0.366311319,0.373978533,0.369370246,0.362366163,0.366311319,0.349140076,0.369370246,0.977567098,0.969819021,0.97871255,0.972685101,0.958488013,0.969819021,0.962376979,0.972685101,2.249499494,2.349477455,2.271826197,2.325409787,2.407722631,2.349477455,2.451686812,2.325409787
Vincent (28).jpg,0.92578125,0.89771949,0.918442421,0.904309009,0.8880584,0.89771949,0.872840803,0.904309009,0.35514231,0.33693113,0.349992887,0.340776379,0.330871397,0.33693113,0.32178297,0.340776379,0.97209963,0.958953633,0.970484649,0.96450827,0.953153126,0.958953633,0.946722559,0.96450827,2.337272802,2.4688352,2.373777212,2.437503214,2.507809281,2.4688352,2.577473913,2.437503214
Vincent (29).jpg,0.933569144,0.906497613,0.928014272,0.911990824,0.894990079,0.906497613,0.881938244,0.911990824,0.379879859,0.359516381,0.372741111,0.364304847,0.354553757,0.359516381,0.342348514,0.364304847,0.970842698,0.958013933,0.968588703,0.959120456,0.949269768,0.958013933,0.941652281,0.959120456,2.258265579,2.384309886,2.288768025,2.366019423,2.439423556,2.384309886,2.500377052,2.366019423
Vincent (3).jpg,0.932657263,0.914994912,0.925859773,0.923126046,0.908020396,0.914994912,0.897845544,0.923126046,0.512085231,0.500514431,0.5050057,0.502691226,0.495936943,0.500514431,0.484632028,0.502691226,0.928388263,0.906158773,0.924621262,0.925484374,0.893754693,0.906158773,0.885485634,0.925484374,1.857760289,1.940323128,1.900859416,1.903615708,1.963402828,1.940323128,2.023540471,1.903615708
Vincent (30).jpg,0.918753452,0.883423748,0.908141818,0.893676184,0.880195035,0.883423748,0.858727634,0.893676184,0.360512922,0.336339538,0.351058754,0.34218358,0.336090241,0.336339538,0.320097178,0.34218358,0.960163394,0.941782231,0.96000133,0.949550885,0.934016544,0.941782231,0.929203229,0.949550885,2.364365857,2.519861421,2.415077773,2.481120277,2.536485338,2.519861421,2.627306847,2.481120277
Vincent (7).jpg,0.954312254,0.938632277,0.949157234,0.938043276,0.928887649,0.938632277,0.920535714,0.938043276,0.451142262,0.436480459,0.443878433,0.437650694,0.432255134,0.436480459,0.420649226,0.437650694,0.97333671,0.963955093,0.970359828,0.962142591,0.956334406,0.963955093,0.949906427,0.962142591,1.955852784,2.037518904,1.98755993,2.045385817,2.088320932,2.037518904,2.135610755,2.045385817
Vincent (15).jpg,0.9208697603056971,0.8905654046602212,0.9127554712830013,0.9011145434055575,0.8832053133753501,0.8905654046602212,0.8637486925860087,0.9011145434055575,0.36313051139386976,0.3437480172194813,0.3576531145374475,0.3495059698076746,0.33842526429818487,0.3437480172194813,0.32727568724446837,0.3495059698076746,0.9645685174580528,0.9453001968738478,0.9576825921361385,0.9505601109622568,0.9414430476319411,0.9453001968738478,0.9217910744067219,0.9505601109622568,2.294126496553935,2.432444450575951,2.3369781186500713,2.3940571421620738,2.462984868939844,2.432444450575951,2.5513161746687176,2.3940571421620738
